review_id,restaurant_name,address,cuisine,price_range,dish_mentioned,review_text,rating,sentiment_label,sentiment_score,reviewer,visit_month,visit_year,tags
11,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Amazing ambiance and even better food! The Dal Makhani was perfectly seasoned. A must visit in Majhitar.,4,positive,0.5307,Reviewer_0011,June,2024,"vegetarian_friendly, spicy, hearty, quick_service"
12,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Great place to stop while traveling to Gangtok. The Tandoori Chicken here is amazing. Will visit again.,4,positive,0.7856,Reviewer_0012,November,2023,"vegetarian_friendly, spicy, hearty, quick_service"
13,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Authentic taste of Punjabi right here in Majhitar. The Aloo Paratha was spot on. Very satisfied.,4,positive,0.8239,Reviewer_0013,July,2024,"vegetarian_friendly, spicy, hearty, quick_service"
14,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Okay experience overall. The Dal Makhani lacked seasoning. Staff was polite but slow.,3,neutral,-0.0402,Reviewer_0014,April,2022,"vegetarian_friendly, spicy, hearty, quick_service"
15,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,"Mixed experience. Some items like Tandoori Chicken were good, others were not so great.",3,neutral,0.0506,Reviewer_0015,October,2024,"vegetarian_friendly, spicy, hearty, quick_service"
16,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Great place to stop while traveling to Gangtok. The Veg Biryani here is amazing. Will visit again.,4,positive,0.776,Reviewer_0016,August,2023,"vegetarian_friendly, spicy, hearty, quick_service"
17,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,The Egg Fried Rice was alright. Nothing special but satisfied the hunger. Service was average.,3,neutral,-0.0802,Reviewer_0017,May,2025,"vegetarian_friendly, spicy, hearty, quick_service"
18,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Excellent food and good portion sizes. The Dal Makhani was filling and flavorful. Will definitely return.,4,positive,0.7293,Reviewer_0018,March,2025,"vegetarian_friendly, spicy, hearty, quick_service"
19,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Best Indian food in Majhitar! The Tandoori Chicken was cooked to perfection. Highly recommend.,4,positive,0.8413,Reviewer_0019,November,2023,"vegetarian_friendly, spicy, hearty, quick_service"
20,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Decent place for budget dining. The Veg Biryani was okay for the price. Not a memorable experience.,3,neutral,0.1482,Reviewer_0020,October,2025,"vegetarian_friendly, spicy, hearty, quick_service"
21,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of Indian right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,5,positive,0.5134,Reviewer_0021,November,2022,"vegetarian_friendly, spicy, hearty, quick_service"
22,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Such a hidden gem in Majhitar! The Dal Makhani blew my mind. Prices are reasonable too.,4,positive,0.9251,Reviewer_0022,June,2022,"vegetarian_friendly, spicy, hearty, quick_service"
23,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,The food quality is excellent. Had Veg Biryani and it was one of the best I've tasted in Sikkim.,4,positive,0.6326,Reviewer_0023,December,2024,"vegetarian_friendly, spicy, hearty, quick_service"
24,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Okay experience overall. The Egg Fried Rice lacked seasoning. Staff was polite but slow.,3,neutral,0.231,Reviewer_0024,November,2024,"vegetarian_friendly, spicy, hearty, quick_service"
25,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Loved the cozy atmosphere and the delicious Egg Fried Rice. The owner was very accommodating.,4,positive,0.7653,Reviewer_0025,March,2024,"vegetarian_friendly, spicy, hearty, quick_service"
26,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,We were a group of travelers and everyone enjoyed the meal. Egg Fried Rice was the highlight. Great service.,4,positive,0.455,Reviewer_0026,October,2024,"vegetarian_friendly, spicy, hearty, quick_service"
27,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,The Dal Makhani was passable. I've had better Punjabi food elsewhere but this works in a pinch.,3,neutral,-0.1403,Reviewer_0027,April,2022,"vegetarian_friendly, spicy, hearty, quick_service"
28,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Great place to stop while traveling to Gangtok. The Tandoori Chicken here is amazing. Will visit again.,4,positive,0.9207,Reviewer_0028,December,2025,"vegetarian_friendly, spicy, hearty, quick_service"
29,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Loved the cozy atmosphere and the delicious Egg Fried Rice. The owner was very accommodating.,4,positive,0.395,Reviewer_0029,March,2025,"vegetarian_friendly, spicy, hearty, quick_service"
30,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of North Indian right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,4,positive,0.4573,Reviewer_0030,July,2023,"vegetarian_friendly, spicy, hearty, quick_service"
31,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Excellent food and good portion sizes. The Aloo Paratha was filling and flavorful. Will definitely return.,4,positive,0.7005,Reviewer_0031,May,2025,"vegetarian_friendly, spicy, hearty, quick_service"
32,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Such a hidden gem in Majhitar! The Veg Biryani blew my mind. Prices are reasonable too.,5,positive,0.7724,Reviewer_0032,August,2022,"vegetarian_friendly, spicy, hearty, quick_service"
33,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Great place to stop while traveling to Gangtok. The Dal Makhani here is amazing. Will visit again.,4,positive,0.4961,Reviewer_0033,October,2023,"vegetarian_friendly, spicy, hearty, quick_service"
34,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Average restaurant. The Tandoori Chicken was okay. Clean place but the food was nothing to write home about.,3,neutral,-0.0399,Reviewer_0034,November,2022,"vegetarian_friendly, spicy, hearty, quick_service"
35,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Great place to stop while traveling to Gangtok. The Tandoori Chicken here is amazing. Will visit again.,5,positive,0.3938,Reviewer_0035,February,2023,"vegetarian_friendly, spicy, hearty, quick_service"
36,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,The Aloo Paratha was alright. Nothing special but satisfied the hunger. Service was average.,3,neutral,0.1845,Reviewer_0036,March,2025,"vegetarian_friendly, spicy, hearty, quick_service"
37,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Great place to stop while traveling to Gangtok. The Veg Biryani here is amazing. Will visit again.,4,positive,0.86,Reviewer_0037,February,2022,"vegetarian_friendly, spicy, hearty, quick_service"
38,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Decent place for budget dining. The Veg Biryani was okay for the price. Not a memorable experience.,3,neutral,0.0271,Reviewer_0038,December,2022,"vegetarian_friendly, spicy, hearty, quick_service"
39,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Average food quality. The Dal Makhani was edible but could be better. Service was acceptable.,3,neutral,-0.1197,Reviewer_0039,April,2023,"vegetarian_friendly, spicy, hearty, quick_service"
40,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Great place to stop while traveling to Gangtok. The Aloo Paratha here is amazing. Will visit again.,4,positive,0.6986,Reviewer_0040,March,2024,"vegetarian_friendly, spicy, hearty, quick_service"
41,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,"Clean restaurant, friendly owner, and delicious Tandoori Chicken. Totally worth it. Loved every bite.",5,positive,0.5124,Reviewer_0041,September,2022,"vegetarian_friendly, spicy, hearty, quick_service"
42,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Absolutely loved the food here! The Egg Fried Rice was outstanding and the service was very quick.,4,positive,0.7739,Reviewer_0042,February,2023,"vegetarian_friendly, spicy, hearty, quick_service"
43,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Wonderful experience. The Veg Biryani was delicious and the staff was very friendly and helpful.,4,positive,0.6142,Reviewer_0043,July,2022,"vegetarian_friendly, spicy, hearty, quick_service"
44,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Wonderful experience. The Veg Biryani was delicious and the staff was very friendly and helpful.,4,positive,0.5963,Reviewer_0044,August,2024,"vegetarian_friendly, spicy, hearty, quick_service"
45,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Decent place for budget dining. The Egg Fried Rice was okay for the price. Not a memorable experience.,3,neutral,0.1983,Reviewer_0045,December,2025,"vegetarian_friendly, spicy, hearty, quick_service"
46,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Wonderful experience. The Aloo Paratha was delicious and the staff was very friendly and helpful.,4,positive,0.4734,Reviewer_0046,October,2022,"vegetarian_friendly, spicy, hearty, quick_service"
47,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Super tasty food! The Tandoori Chicken was rich in flavors. Perfect stop for hungry travelers on NH10.,4,positive,0.5538,Reviewer_0047,August,2023,"vegetarian_friendly, spicy, hearty, quick_service"
48,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Absolutely loved the food here! The Tandoori Chicken was outstanding and the service was very quick.,5,positive,0.9745,Reviewer_0048,February,2022,"vegetarian_friendly, spicy, hearty, quick_service"
49,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Such a hidden gem in Majhitar! The Veg Biryani blew my mind. Prices are reasonable too.,4,positive,0.9102,Reviewer_0049,October,2023,"vegetarian_friendly, spicy, hearty, quick_service"
50,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Average restaurant. The Egg Fried Rice was okay. Clean place but the food was nothing to write home about.,3,neutral,0.1473,Reviewer_0050,July,2024,"vegetarian_friendly, spicy, hearty, quick_service"
51,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Excellent food and good portion sizes. The Dal Makhani was filling and flavorful. Will definitely return.,4,positive,0.5195,Reviewer_0051,May,2025,"vegetarian_friendly, spicy, hearty, quick_service"
52,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Wonderful experience. The Dal Makhani was delicious and the staff was very friendly and helpful.,4,positive,0.7866,Reviewer_0052,June,2022,"vegetarian_friendly, spicy, hearty, quick_service"
53,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Absolutely loved the food here! The Egg Fried Rice was outstanding and the service was very quick.,4,positive,0.6479,Reviewer_0053,February,2023,"vegetarian_friendly, spicy, hearty, quick_service"
54,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Authentic taste of Indian right here in Majhitar. The Dal Makhani was spot on. Very satisfied.,5,positive,0.5224,Reviewer_0054,April,2024,"vegetarian_friendly, spicy, hearty, quick_service"
55,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,The food quality is excellent. Had Egg Fried Rice and it was one of the best I've tasted in Sikkim.,5,positive,0.4525,Reviewer_0055,May,2022,"vegetarian_friendly, spicy, hearty, quick_service"
56,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Such a hidden gem in Majhitar! The Dal Makhani blew my mind. Prices are reasonable too.,5,positive,0.8811,Reviewer_0056,February,2023,"vegetarian_friendly, spicy, hearty, quick_service"
57,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,The food quality is excellent. Had Tandoori Chicken and it was one of the best I've tasted in Sikkim.,4,positive,0.425,Reviewer_0057,September,2023,"vegetarian_friendly, spicy, hearty, quick_service"
58,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,The food quality is excellent. Had Aloo Paratha and it was one of the best I've tasted in Sikkim.,4,positive,0.5331,Reviewer_0058,June,2023,"vegetarian_friendly, spicy, hearty, quick_service"
59,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Such a hidden gem in Majhitar! The Dal Makhani blew my mind. Prices are reasonable too.,4,positive,0.7623,Reviewer_0059,August,2024,"vegetarian_friendly, spicy, hearty, quick_service"
60,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Excellent food and good portion sizes. The Tandoori Chicken was filling and flavorful. Will definitely return.,5,positive,0.9403,Reviewer_0060,November,2025,"vegetarian_friendly, spicy, hearty, quick_service"
61,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Loved the cozy atmosphere and the delicious Tandoori Chicken. The owner was very accommodating.,4,positive,0.5298,Reviewer_0061,March,2024,"vegetarian_friendly, spicy, hearty, quick_service"
62,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Wonderful experience. The Egg Fried Rice was delicious and the staff was very friendly and helpful.,4,positive,0.8318,Reviewer_0062,July,2022,"vegetarian_friendly, spicy, hearty, quick_service"
63,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Average food quality. The Aloo Paratha was edible but could be better. Service was acceptable.,3,neutral,-0.1124,Reviewer_0063,January,2024,"vegetarian_friendly, spicy, hearty, quick_service"
64,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Average restaurant. The Veg Biryani was okay. Clean place but the food was nothing to write home about.,3,neutral,0.1263,Reviewer_0064,January,2024,"vegetarian_friendly, spicy, hearty, quick_service"
65,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Visited with family and everyone loved it. The Tandoori Chicken was fresh and tasty. Good value for money.,5,positive,0.9343,Reviewer_0065,April,2023,"vegetarian_friendly, spicy, hearty, quick_service"
66,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Such a hidden gem in Majhitar! The Egg Fried Rice blew my mind. Prices are reasonable too.,5,positive,0.4168,Reviewer_0066,October,2023,"vegetarian_friendly, spicy, hearty, quick_service"
67,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Excellent food and good portion sizes. The Aloo Paratha was filling and flavorful. Will definitely return.,4,positive,0.9544,Reviewer_0067,July,2022,"vegetarian_friendly, spicy, hearty, quick_service"
68,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Wonderful experience. The Dal Makhani was delicious and the staff was very friendly and helpful.,5,positive,0.8288,Reviewer_0068,November,2023,"vegetarian_friendly, spicy, hearty, quick_service"
69,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,The food quality is excellent. Had Tandoori Chicken and it was one of the best I've tasted in Sikkim.,4,positive,0.4535,Reviewer_0069,January,2025,"vegetarian_friendly, spicy, hearty, quick_service"
70,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Great place to stop while traveling to Gangtok. The Veg Biryani here is amazing. Will visit again.,4,positive,0.4797,Reviewer_0070,May,2023,"vegetarian_friendly, spicy, hearty, quick_service"
71,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Absolutely loved the food here! The Cocktails was outstanding and the service was very quick.,4,positive,0.779,Reviewer_0071,May,2022,"bar, grilled, dinner, late_night, non_veg"
72,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,We were a group of travelers and everyone enjoyed the meal. BBQ was the highlight. Great service.,5,positive,0.5314,Reviewer_0072,November,2024,"bar, grilled, dinner, late_night, non_veg"
73,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Fried Rice,Absolutely loved the food here! The Fried Rice was outstanding and the service was very quick.,4,positive,0.425,Reviewer_0073,October,2024,"bar, grilled, dinner, late_night, non_veg"
74,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Absolutely loved the food here! The Cocktails was outstanding and the service was very quick.,5,positive,0.4205,Reviewer_0074,December,2024,"bar, grilled, dinner, late_night, non_veg"
75,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Not worth the price. The BBQ portion was tiny and the taste was off. Hygiene is questionable.,2,negative,-0.4847,Reviewer_0075,July,2023,"bar, grilled, dinner, late_night, non_veg"
76,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,The food quality is excellent. Had Cocktails and it was one of the best I've tasted in Sikkim.,4,positive,0.3789,Reviewer_0076,September,2023,"bar, grilled, dinner, late_night, non_veg"
77,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Fried Rice,Visited with family and everyone loved it. The Fried Rice was fresh and tasty. Good value for money.,4,positive,0.6303,Reviewer_0077,November,2022,"bar, grilled, dinner, late_night, non_veg"
78,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Super tasty food! The BBQ was rich in flavors. Perfect stop for hungry travelers on NH10.,4,positive,0.935,Reviewer_0078,November,2025,"bar, grilled, dinner, late_night, non_veg"
79,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Fried Rice,Visited with family and everyone loved it. The Fried Rice was fresh and tasty. Good value for money.,4,positive,0.6116,Reviewer_0079,April,2025,"bar, grilled, dinner, late_night, non_veg"
80,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Momos,Not worth the price. The Momos portion was tiny and the taste was off. Hygiene is questionable.,2,negative,-0.4243,Reviewer_0080,July,2022,"bar, grilled, dinner, late_night, non_veg"
81,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,The food quality is excellent. Had Cocktails and it was one of the best I've tasted in Sikkim.,4,positive,0.5365,Reviewer_0081,August,2025,"bar, grilled, dinner, late_night, non_veg"
82,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,"Clean restaurant, friendly owner, and delicious BBQ. Totally worth it. Loved every bite.",4,positive,0.7892,Reviewer_0082,December,2023,"bar, grilled, dinner, late_night, non_veg"
83,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Such a hidden gem in Majhitar! The BBQ blew my mind. Prices are reasonable too.,5,positive,0.4051,Reviewer_0083,February,2023,"bar, grilled, dinner, late_night, non_veg"
84,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Momos,The Momos was alright. Nothing special but satisfied the hunger. Service was average.,3,neutral,-0.0377,Reviewer_0084,January,2022,"bar, grilled, dinner, late_night, non_veg"
85,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Food is neither great nor bad. The BBQ was standard. Would visit if nothing else is available.,3,neutral,0.342,Reviewer_0085,August,2025,"bar, grilled, dinner, late_night, non_veg"
86,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Average restaurant. The Cocktails was okay. Clean place but the food was nothing to write home about.,3,neutral,-0.0528,Reviewer_0086,July,2023,"bar, grilled, dinner, late_night, non_veg"
87,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Grilled Chicken,Wonderful experience. The Grilled Chicken was delicious and the staff was very friendly and helpful.,4,positive,0.7764,Reviewer_0087,July,2023,"bar, grilled, dinner, late_night, non_veg"
88,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Wonderful experience. The BBQ was delicious and the staff was very friendly and helpful.,4,positive,0.8727,Reviewer_0088,January,2023,"bar, grilled, dinner, late_night, non_veg"
89,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Average food quality. The Cocktails was edible but could be better. Service was acceptable.,3,neutral,0.0782,Reviewer_0089,August,2025,"bar, grilled, dinner, late_night, non_veg"
90,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Loved the cozy atmosphere and the delicious Cocktails. The owner was very accommodating.,4,positive,0.9395,Reviewer_0090,December,2025,"bar, grilled, dinner, late_night, non_veg"
