review_id,restaurant_name,address,cuisine,price_range,dish_mentioned,review_text,rating,sentiment_label,sentiment_score,reviewer,visit_month,visit_year,tags,cleaned_text,filtered_text,review_length,word_count,char_count,avg_word_length,exclamation_count,question_count,positive_word_count,negative_word_count,sentiment_word_ratio,has_negation
12,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Great place to stop while traveling to Gangtok. The Tandoori Chicken here is amazing. Will visit again.,4,positive,0.7856,Reviewer_0012,November,2023,"vegetarian_friendly, spicy, hearty, quick_service",great place to stop while traveling to gangtok the tandoori chicken here is amazing will visit again,great place stop traveling gangtok tandoori chicken amazing visit,103,17,100,4.9411764705882355,0,0,2,0,0.11764705882352941,0
13,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Authentic taste of Punjabi right here in Majhitar. The Aloo Paratha was spot on. Very satisfied.,4,positive,0.8239,Reviewer_0013,July,2024,"vegetarian_friendly, spicy, hearty, quick_service",authentic taste of punjabi right here in majhitar the aloo paratha was spot on very satisfied,authentic taste punjabi right majhitar aloo paratha spot satisfied,96,16,93,4.875,0,0,2,0,0.125,0
14,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Okay experience overall. The Dal Makhani lacked seasoning. Staff was polite but slow.,3,neutral,-0.0402,Reviewer_0014,April,2022,"vegetarian_friendly, spicy, hearty, quick_service",okay experience overall the dal makhani lacked seasoning staff was polite but slow,okay experience overall dal makhani lacked seasoning staff polite slow,85,13,82,5.384615384615385,0,0,0,1,-0.07692307692307693,0
15,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,"Mixed experience. Some items like Tandoori Chicken were good, others were not so great.",3,neutral,0.0506,Reviewer_0015,October,2024,"vegetarian_friendly, spicy, hearty, quick_service",mixed experience some items like tandoori chicken were good others were not so great,mixed experience items like tandoori chicken good others great,87,14,84,5.071428571428571,0,0,1,0,0.07142857142857142,1
16,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Great place to stop while traveling to Gangtok. The Veg Biryani here is amazing. Will visit again.,4,positive,0.776,Reviewer_0016,August,2023,"vegetarian_friendly, spicy, hearty, quick_service",great place to stop while traveling to gangtok the veg biryani here is amazing will visit again,great place stop traveling gangtok veg biryani amazing visit,98,17,95,4.647058823529412,0,0,2,0,0.11764705882352941,0
17,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,The Egg Fried Rice was alright. Nothing special but satisfied the hunger. Service was average.,3,neutral,-0.0802,Reviewer_0017,May,2025,"vegetarian_friendly, spicy, hearty, quick_service",the egg fried rice was alright nothing special but satisfied the hunger service was average,egg fried rice alright nothing special satisfied hunger service average,94,15,91,5.133333333333334,0,0,1,0,0.06666666666666667,0
18,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Excellent food and good portion sizes. The Dal Makhani was filling and flavorful. Will definitely return.,4,positive,0.7293,Reviewer_0018,March,2025,"vegetarian_friendly, spicy, hearty, quick_service",excellent food and good portion sizes the dal makhani was filling and flavorful will definitely return,excellent food good portion sizes dal makhani filling flavorful definitely return,105,16,102,5.4375,0,0,2,0,0.125,0
19,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Best Indian food in Majhitar! The Tandoori Chicken was cooked to perfection. Highly recommend.,4,positive,0.8413,Reviewer_0019,November,2023,"vegetarian_friendly, spicy, hearty, quick_service",best indian food in majhitar the tandoori chicken was cooked to perfection highly recommend,best indian food majhitar tandoori chicken cooked perfection highly recommend,94,14,91,5.571428571428571,1,0,2,0,0.14285714285714285,0
20,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Decent place for budget dining. The Veg Biryani was okay for the price. Not a memorable experience.,3,neutral,0.1482,Reviewer_0020,October,2025,"vegetarian_friendly, spicy, hearty, quick_service",decent place for budget dining the veg biryani was okay for the price not a memorable experience,decent place budget dining veg biryani okay price memorable experience,99,17,96,4.705882352941177,0,0,0,0,0.0,1
21,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of Indian right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,5,positive,0.5134,Reviewer_0021,November,2022,"vegetarian_friendly, spicy, hearty, quick_service",authentic taste of indian right here in majhitar the egg fried rice was spot on very satisfied,authentic taste indian right majhitar egg fried rice spot satisfied,97,17,94,4.588235294117647,0,0,2,0,0.11764705882352941,0
22,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Such a hidden gem in Majhitar! The Dal Makhani blew my mind. Prices are reasonable too.,4,positive,0.9251,Reviewer_0022,June,2022,"vegetarian_friendly, spicy, hearty, quick_service",such a hidden gem in majhitar the dal makhani blew my mind prices are reasonable too,hidden gem majhitar dal makhani blew mind prices reasonable,87,16,84,4.3125,1,0,0,0,0.0,0
23,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,The food quality is excellent. Had Veg Biryani and it was one of the best I've tasted in Sikkim.,4,positive,0.6326,Reviewer_0023,December,2024,"vegetarian_friendly, spicy, hearty, quick_service",the food quality is excellent had veg biryani and it was one of the best i have tasted in sikkim,food quality excellent veg biryani one best tasted sikkim,96,20,96,3.85,0,0,2,0,0.1,0
24,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Okay experience overall. The Egg Fried Rice lacked seasoning. Staff was polite but slow.,3,neutral,0.231,Reviewer_0024,November,2024,"vegetarian_friendly, spicy, hearty, quick_service",okay experience overall the egg fried rice lacked seasoning staff was polite but slow,okay experience overall egg fried rice lacked seasoning staff polite slow,88,14,85,5.142857142857143,0,0,0,1,-0.07142857142857142,0
25,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Loved the cozy atmosphere and the delicious Egg Fried Rice. The owner was very accommodating.,4,positive,0.7653,Reviewer_0025,March,2024,"vegetarian_friendly, spicy, hearty, quick_service",loved the cozy atmosphere and the delicious egg fried rice the owner was very accommodating,loved cozy atmosphere delicious egg fried rice owner accommodating,93,15,91,5.133333333333334,0,0,2,0,0.13333333333333333,0
26,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,We were a group of travelers and everyone enjoyed the meal. Egg Fried Rice was the highlight. Great service.,4,positive,0.455,Reviewer_0026,October,2024,"vegetarian_friendly, spicy, hearty, quick_service",we were a group of travelers and everyone enjoyed the meal egg fried rice was the highlight great service,group travelers everyone enjoyed meal egg fried rice highlight great service,108,19,105,4.578947368421052,0,0,1,0,0.05263157894736842,0
27,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,The Dal Makhani was passable. I've had better Punjabi food elsewhere but this works in a pinch.,3,neutral,-0.1403,Reviewer_0027,April,2022,"vegetarian_friendly, spicy, hearty, quick_service",the dal makhani was passable i have had better punjabi food elsewhere but this works in a pinch,dal makhani passable better punjabi food elsewhere works pinch,95,18,95,4.333333333333333,0,0,0,0,0.0,0
30,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of North Indian right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,4,positive,0.4573,Reviewer_0030,July,2023,"vegetarian_friendly, spicy, hearty, quick_service",authentic taste of north indian right here in majhitar the egg fried rice was spot on very satisfied,authentic taste north indian right majhitar egg fried rice spot satisfied,103,18,100,4.611111111111111,0,0,2,0,0.1111111111111111,0
31,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Excellent food and good portion sizes. The Aloo Paratha was filling and flavorful. Will definitely return.,4,positive,0.7005,Reviewer_0031,May,2025,"vegetarian_friendly, spicy, hearty, quick_service",excellent food and good portion sizes the aloo paratha was filling and flavorful will definitely return,excellent food good portion sizes aloo paratha filling flavorful definitely return,106,16,103,5.5,0,0,2,0,0.125,0
32,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Such a hidden gem in Majhitar! The Veg Biryani blew my mind. Prices are reasonable too.,5,positive,0.7724,Reviewer_0032,August,2022,"vegetarian_friendly, spicy, hearty, quick_service",such a hidden gem in majhitar the veg biryani blew my mind prices are reasonable too,hidden gem majhitar veg biryani blew mind prices reasonable,87,16,84,4.3125,1,0,0,0,0.0,0
33,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Great place to stop while traveling to Gangtok. The Dal Makhani here is amazing. Will visit again.,4,positive,0.4961,Reviewer_0033,October,2023,"vegetarian_friendly, spicy, hearty, quick_service",great place to stop while traveling to gangtok the dal makhani here is amazing will visit again,great place stop traveling gangtok dal makhani amazing visit,98,17,95,4.647058823529412,0,0,2,0,0.11764705882352941,0
34,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Average restaurant. The Tandoori Chicken was okay. Clean place but the food was nothing to write home about.,3,neutral,-0.0399,Reviewer_0034,November,2022,"vegetarian_friendly, spicy, hearty, quick_service",average restaurant the tandoori chicken was okay clean place but the food was nothing to write home about,average restaurant tandoori chicken okay clean place food nothing write home,108,18,105,4.888888888888889,0,0,0,0,0.0,0
36,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,The Aloo Paratha was alright. Nothing special but satisfied the hunger. Service was average.,3,neutral,0.1845,Reviewer_0036,March,2025,"vegetarian_friendly, spicy, hearty, quick_service",the aloo paratha was alright nothing special but satisfied the hunger service was average,aloo paratha alright nothing special satisfied hunger service average,92,14,89,5.428571428571429,0,0,1,0,0.07142857142857142,0
39,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Average food quality. The Dal Makhani was edible but could be better. Service was acceptable.,3,neutral,-0.1197,Reviewer_0039,April,2023,"vegetarian_friendly, spicy, hearty, quick_service",average food quality the dal makhani was edible but could be better service was acceptable,average food quality dal makhani edible better service acceptable,93,15,90,5.066666666666666,0,0,0,0,0.0,0
40,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Great place to stop while traveling to Gangtok. The Aloo Paratha here is amazing. Will visit again.,4,positive,0.6986,Reviewer_0040,March,2024,"vegetarian_friendly, spicy, hearty, quick_service",great place to stop while traveling to gangtok the aloo paratha here is amazing will visit again,great place stop traveling gangtok aloo paratha amazing visit,99,17,96,4.705882352941177,0,0,2,0,0.11764705882352941,0
41,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,"Clean restaurant, friendly owner, and delicious Tandoori Chicken. Totally worth it. Loved every bite.",5,positive,0.5124,Reviewer_0041,September,2022,"vegetarian_friendly, spicy, hearty, quick_service",clean restaurant friendly owner and delicious tandoori chicken totally worth it loved every bite,clean restaurant friendly owner delicious tandoori chicken totally worth loved every bite,101,14,96,5.928571428571429,0,0,2,0,0.14285714285714285,0
42,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Absolutely loved the food here! The Egg Fried Rice was outstanding and the service was very quick.,4,positive,0.7739,Reviewer_0042,February,2023,"vegetarian_friendly, spicy, hearty, quick_service",absolutely loved the food here the egg fried rice was outstanding and the service was very quick,absolutely loved food egg fried rice outstanding service quick,98,17,96,4.705882352941177,1,0,2,0,0.11764705882352941,0
43,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Wonderful experience. The Veg Biryani was delicious and the staff was very friendly and helpful.,4,positive,0.6142,Reviewer_0043,July,2022,"vegetarian_friendly, spicy, hearty, quick_service",wonderful experience the veg biryani was delicious and the staff was very friendly and helpful,wonderful experience veg biryani delicious staff friendly helpful,96,15,94,5.333333333333333,0,0,2,0,0.13333333333333333,0
45,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Decent place for budget dining. The Egg Fried Rice was okay for the price. Not a memorable experience.,3,neutral,0.1983,Reviewer_0045,December,2025,"vegetarian_friendly, spicy, hearty, quick_service",decent place for budget dining the egg fried rice was okay for the price not a memorable experience,decent place budget dining egg fried rice okay price memorable experience,102,18,99,4.555555555555555,0,0,0,0,0.0,1
46,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Wonderful experience. The Aloo Paratha was delicious and the staff was very friendly and helpful.,4,positive,0.4734,Reviewer_0046,October,2022,"vegetarian_friendly, spicy, hearty, quick_service",wonderful experience the aloo paratha was delicious and the staff was very friendly and helpful,wonderful experience aloo paratha delicious staff friendly helpful,97,15,95,5.4,0,0,2,0,0.13333333333333333,0
48,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Absolutely loved the food here! The Tandoori Chicken was outstanding and the service was very quick.,5,positive,0.9745,Reviewer_0048,February,2022,"vegetarian_friendly, spicy, hearty, quick_service",absolutely loved the food here the tandoori chicken was outstanding and the service was very quick,absolutely loved food tandoori chicken outstanding service quick,100,16,98,5.1875,1,0,2,0,0.125,0
50,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Average restaurant. The Egg Fried Rice was okay. Clean place but the food was nothing to write home about.,3,neutral,0.1473,Reviewer_0050,July,2024,"vegetarian_friendly, spicy, hearty, quick_service",average restaurant the egg fried rice was okay clean place but the food was nothing to write home about,average restaurant egg fried rice okay clean place food nothing write home,106,19,103,4.473684210526316,0,0,0,0,0.0,0
52,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Wonderful experience. The Dal Makhani was delicious and the staff was very friendly and helpful.,4,positive,0.7866,Reviewer_0052,June,2022,"vegetarian_friendly, spicy, hearty, quick_service",wonderful experience the dal makhani was delicious and the staff was very friendly and helpful,wonderful experience dal makhani delicious staff friendly helpful,96,15,94,5.333333333333333,0,0,2,0,0.13333333333333333,0
54,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Authentic taste of Indian right here in Majhitar. The Dal Makhani was spot on. Very satisfied.,5,positive,0.5224,Reviewer_0054,April,2024,"vegetarian_friendly, spicy, hearty, quick_service",authentic taste of indian right here in majhitar the dal makhani was spot on very satisfied,authentic taste indian right majhitar dal makhani spot satisfied,94,16,91,4.75,0,0,2,0,0.125,0
55,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,The food quality is excellent. Had Egg Fried Rice and it was one of the best I've tasted in Sikkim.,5,positive,0.4525,Reviewer_0055,May,2022,"vegetarian_friendly, spicy, hearty, quick_service",the food quality is excellent had egg fried rice and it was one of the best i have tasted in sikkim,food quality excellent egg fried rice one best tasted sikkim,99,21,99,3.761904761904762,0,0,2,0,0.09523809523809523,0
57,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,The food quality is excellent. Had Tandoori Chicken and it was one of the best I've tasted in Sikkim.,4,positive,0.425,Reviewer_0057,September,2023,"vegetarian_friendly, spicy, hearty, quick_service",the food quality is excellent had tandoori chicken and it was one of the best i have tasted in sikkim,food quality excellent tandoori chicken one best tasted sikkim,101,20,101,4.1,0,0,2,0,0.1,0
58,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,The food quality is excellent. Had Aloo Paratha and it was one of the best I've tasted in Sikkim.,4,positive,0.5331,Reviewer_0058,June,2023,"vegetarian_friendly, spicy, hearty, quick_service",the food quality is excellent had aloo paratha and it was one of the best i have tasted in sikkim,food quality excellent aloo paratha one best tasted sikkim,97,20,97,3.9,0,0,2,0,0.1,0
60,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Excellent food and good portion sizes. The Tandoori Chicken was filling and flavorful. Will definitely return.,5,positive,0.9403,Reviewer_0060,November,2025,"vegetarian_friendly, spicy, hearty, quick_service",excellent food and good portion sizes the tandoori chicken was filling and flavorful will definitely return,excellent food good portion sizes tandoori chicken filling flavorful definitely return,110,16,107,5.75,0,0,2,0,0.125,0
61,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Loved the cozy atmosphere and the delicious Tandoori Chicken. The owner was very accommodating.,4,positive,0.5298,Reviewer_0061,March,2024,"vegetarian_friendly, spicy, hearty, quick_service",loved the cozy atmosphere and the delicious tandoori chicken the owner was very accommodating,loved cozy atmosphere delicious tandoori chicken owner accommodating,95,14,93,5.714285714285714,0,0,2,0,0.14285714285714285,0
62,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Wonderful experience. The Egg Fried Rice was delicious and the staff was very friendly and helpful.,4,positive,0.8318,Reviewer_0062,July,2022,"vegetarian_friendly, spicy, hearty, quick_service",wonderful experience the egg fried rice was delicious and the staff was very friendly and helpful,wonderful experience egg fried rice delicious staff friendly helpful,99,16,97,5.125,0,0,2,0,0.125,0
63,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Average food quality. The Aloo Paratha was edible but could be better. Service was acceptable.,3,neutral,-0.1124,Reviewer_0063,January,2024,"vegetarian_friendly, spicy, hearty, quick_service",average food quality the aloo paratha was edible but could be better service was acceptable,average food quality aloo paratha edible better service acceptable,94,15,91,5.133333333333334,0,0,0,0,0.0,0
64,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Veg Biryani,Average restaurant. The Veg Biryani was okay. Clean place but the food was nothing to write home about.,3,neutral,0.1263,Reviewer_0064,January,2024,"vegetarian_friendly, spicy, hearty, quick_service",average restaurant the veg biryani was okay clean place but the food was nothing to write home about,average restaurant veg biryani okay clean place food nothing write home,103,18,100,4.611111111111111,0,0,0,0,0.0,0
65,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Visited with family and everyone loved it. The Tandoori Chicken was fresh and tasty. Good value for money.,5,positive,0.9343,Reviewer_0065,April,2023,"vegetarian_friendly, spicy, hearty, quick_service",visited with family and everyone loved it the tandoori chicken was fresh and tasty good value for money,visited family everyone loved tandoori chicken fresh tasty good value money,106,18,103,4.777777777777778,0,0,3,0,0.16666666666666666,0
66,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Such a hidden gem in Majhitar! The Egg Fried Rice blew my mind. Prices are reasonable too.,5,positive,0.4168,Reviewer_0066,October,2023,"vegetarian_friendly, spicy, hearty, quick_service",such a hidden gem in majhitar the egg fried rice blew my mind prices are reasonable too,hidden gem majhitar egg fried rice blew mind prices reasonable,90,17,87,4.176470588235294,1,0,0,0,0.0,0
71,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,Absolutely loved the food here! The Cocktails was outstanding and the service was very quick.,4,positive,0.779,Reviewer_0071,May,2022,"bar, grilled, dinner, late_night, non_veg",absolutely loved the food here the cocktails was outstanding and the service was very quick,absolutely loved food cocktails outstanding service quick,93,15,91,5.133333333333334,1,0,2,0,0.13333333333333333,0
72,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,We were a group of travelers and everyone enjoyed the meal. BBQ was the highlight. Great service.,5,positive,0.5314,Reviewer_0072,November,2024,"bar, grilled, dinner, late_night, non_veg",we were a group of travelers and everyone enjoyed the meal bbq was the highlight great service,group travelers everyone enjoyed meal bbq highlight great service,97,17,94,4.588235294117647,0,0,1,0,0.058823529411764705,0
73,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Fried Rice,Absolutely loved the food here! The Fried Rice was outstanding and the service was very quick.,4,positive,0.425,Reviewer_0073,October,2024,"bar, grilled, dinner, late_night, non_veg",absolutely loved the food here the fried rice was outstanding and the service was very quick,absolutely loved food fried rice outstanding service quick,94,16,92,4.8125,1,0,2,0,0.125,0
75,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,BBQ,Not worth the price. The BBQ portion was tiny and the taste was off. Hygiene is questionable.,2,negative,-0.4847,Reviewer_0075,July,2023,"bar, grilled, dinner, late_night, non_veg",not worth the price the bbq portion was tiny and the taste was off hygiene is questionable,worth price bbq portion tiny taste hygiene questionable,93,17,90,4.352941176470588,0,0,0,0,0.0,1
76,Grill and Chill Bar and Restaurant,"Lower Majhitar Opposite Cottage, Majitar 737136","Chinese, Indian, Continental, Bar",mid-range,Cocktails,The food quality is excellent. Had Cocktails and it was one of the best I've tasted in Sikkim.,4,positive,0.3789,Reviewer_0076,September,2023,"bar, grilled, dinner, late_night, non_veg",the food quality is excellent had cocktails and it was one of the best i have tasted in sikkim,food quality excellent cocktails one best tasted sikkim,94,19,94,4.0,0,0,2,0,0.10526315789473684,0
